Dimensión,Permiso (clave),Descripción,Valores posibles,ADMIN,MANAGER,FINANCE_EDITOR,FINANCE_VIEWER,VIEWER
TAB,datos,Pestaña Datos del usuario,visible | hidden,,,,,
TAB,suscripciones,Pestaña Suscripciones,visible | hidden,,,,,
TAB,notificaciones,Pestaña Notificaciones,visible | hidden,,,,,
TAB,facturacion,Pestaña Facturación,visible | hidden,,,,,
TAB,herramientas,Pestaña Herramientas (global),visible | hidden,,,,,
TAB,permisos,Pestaña Editor de permisos (meta),visible | hidden,,,,,
ACTION,datos.delete,Eliminar usuario,allowed | denied,,,,,
ACTION,datos.resetPassword,Enviar email de reset de contraseña,allowed | denied,,,,,
ACTION,datos.sendVerification,Enviar email de verificación,allowed | denied,,,,,
ACTION,datos.unblock,Desbloquear usuario,allowed | denied,,,,,
ACTION,datos.invalidateCache,Invalidar caché del usuario,allowed | denied,,,,,
ACTION,datos.nifLink,Vincular NIF,allowed | denied,,,,,
ACTION,datos.nifUnlink,Desvincular NIF,allowed | denied,,,,,
ACTION,datos.editPersonal,Editar datos personales,allowed | denied,,,,,
ACTION,facturacion.substitute,Generar factura completa (sustitutiva),allowed | denied,,,,,
ACTION,facturacion.rectify,Emitir factura rectificativa,allowed | denied,,,,,
ACTION,facturacion.negative,Generar abono (factura negativa),allowed | denied,,,,,
ACTION,facturacion.recalculate,Recalcular factura,allowed | denied,,,,,
ACTION,facturacion.fiscalEdit,Editar dirección fiscal,allowed | denied,,,,,
ACTION,suscripciones.appleAction,Acciones Apple (desasignar/forzar/reasignar),allowed | denied,,,,,
ACTION,suscripciones.googleAction,Acciones Google (desasignar/forzar/reasignar),allowed | denied,,,,,
ACTION,suscripciones.beneficiaryAdd,Añadir beneficiario,allowed | denied,,,,,
ACTION,suscripciones.beneficiaryDelete,Eliminar beneficiario,allowed | denied,,,,,
ACTION,suscripciones.beneficiaryImport,Importar beneficiarios (CSV),allowed | denied,,,,,
ACTION,suscripciones.beneficiaryExport,Exportar beneficiarios,allowed | denied,,,,,
ACTION,suscripciones.roleCreate,Crear acceso temporal (rol),allowed | denied,,,,,
ACTION,suscripciones.roleRevoke,Revocar rol,allowed | denied,,,,,
ACTION,notificaciones.editOptins,Editar opt-ins de comunicación,allowed | denied,,,,,
ACTION,notificaciones.editCatalog,Editar newsletters / intereses,allowed | denied,,,,,
ACTION,herramientas.createUser,Crear usuario,allowed | denied,,,,,
ACTION,herramientas.uploadNifs,Vinculación masiva de NIFs,allowed | denied,,,,,
ACTION,herramientas.rolesMasivo,Asignación masiva de roles,allowed | denied,,,,,
ACTION,herramientas.landingUpload,Subir landing,allowed | denied,,,,,
ACTION,herramientas.landingDelete,Borrar landing,allowed | denied,,,,,
ACTION,herramientas.retentionEdit,Editar retención (vídeo/imagen/contenido),allowed | denied,,,,,
ACTION,herramientas.sendOffer,Enviar oferta telemática,allowed | denied,,,,,
ACTION,permisos.edit,Editar el mapa de permisos (meta),allowed | denied,,,,,
FIELD,datos.personalData,Bloque de datos personales,editable | viewable | hidden,,,,,
FIELD,datos.identification,Bloque de identificación (solo lectura),editable | viewable | hidden,,,,,
FIELD,facturacion.fiscalAddress,Dirección fiscal,editable | viewable | hidden,,,,,
